model,params,rmse,r2,train_time_sec,eval_time_sec
RandomForest_baseline,{},5.773087598468937,0.8185181436457495,237.60454297065735,52.848764181137085
RandomForest_tuned,"{'maxDepth': 10, 'numTrees': 40}",5.168431730683266,0.8545430467962547,3955.93577504158,126.37016677856445
GBT_baseline,{},5.357171465091661,0.8437255381406531,1148.1542921066284,43.34329962730408
GBT_tuned,"{'maxBins': 32, 'maxDepth': 8}",5.16890498760822,0.854516407511599,10969.921164512634,79.39998626708984
